# Soundist 电台音频完整下载地址
# 来源：prototypes/mobile-interactive/src/app/radioCatalog.ts
# 开放精选频道：24
# 曲目位置：312
# 去重音频：294
# 格式：ID | 标题 | 直接下载地址 | 来源页面

beethoven-nine-two | 第九交响曲 II | https://commons.wikimedia.org/wiki/Special:Redirect/file/02%20Horenstein%209.%20Beethoven%20Pantheon%20XP%202250%20-%202.%20Satz.flac | https://commons.wikimedia.org/wiki/File:02%20Horenstein%209.%20Beethoven%20Pantheon%20XP%202250%20-%202.%20Satz.flac
beethoven-quartet-six-adagio | 第六弦乐四重奏 II：柔板 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Beethoven%20-%20String%20Quartet%20No.%206%20in%20B%20flat%20major%2C%20Op.%2018%20No.%206%20-%20II.%20Adagio%2C%20ma%20non%20troppo%20(Musopen%20String%20Quartet).flac | https://commons.wikimedia.org/wiki/File:Beethoven%20-%20String%20Quartet%20No.%206%20in%20B%20flat%20major%2C%20Op.%2018%20No.%206%20-%20II.%20Adagio%2C%20ma%20non%20troppo%20(Musopen%20String%20Quartet).flac
beethoven-quartet-six-malinconia | 第六弦乐四重奏 IV：忧郁 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Beethoven%20-%20String%20Quartet%20No.%206%20in%20B%20flat%20major%2C%20Op.%2018%20No.%206%20-%20IV.%20La%20malinconia%20(Musopen%20String%20Quartet).flac | https://commons.wikimedia.org/wiki/File:Beethoven%20-%20String%20Quartet%20No.%206%20in%20B%20flat%20major%2C%20Op.%2018%20No.%206%20-%20IV.%20La%20malinconia%20(Musopen%20String%20Quartet).flac
beethoven-sonata-28-one | 第二十八钢琴奏鸣曲 I | https://commons.wikimedia.org/wiki/Special:Redirect/file/Beethoven%20-%20Piano%20Sonata%20No.%2028%20in%20A%20Major%2C%20Op.%20101%20-%20I.%20Etwas%20lebhaft%2C%20und%20mit%20der%20innigsten%20Empfindung.ogg | https://commons.wikimedia.org/wiki/File:Beethoven%20-%20Piano%20Sonata%20No.%2028%20in%20A%20Major%2C%20Op.%20101%20-%20I.%20Etwas%20lebhaft%2C%20und%20mit%20der%20innigsten%20Empfindung.ogg
beethoven-sonata-28-three | 第二十八钢琴奏鸣曲 III | https://commons.wikimedia.org/wiki/Special:Redirect/file/Beethoven%20-%20Piano%20Sonata%20No.%2028%20in%20A%20Major%2C%20Op.%20101%20-%20III.%20Langsam%20und%20sehnsuchtsvoll.ogg | https://commons.wikimedia.org/wiki/File:Beethoven%20-%20Piano%20Sonata%20No.%2028%20in%20A%20Major%2C%20Op.%20101%20-%20III.%20Langsam%20und%20sehnsuchtsvoll.ogg
borodin-steppes | 在中亚细亚草原上 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Alexander%20Borodin%20-%20In%20The%20Steppes%20Of%20Central%20Asia.ogg | https://commons.wikimedia.org/wiki/File:Alexander%20Borodin%20-%20In%20The%20Steppes%20Of%20Central%20Asia.ogg
brahms-clarinet-quintet-adagio | 单簧管五重奏 II：慢板 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Brahms%20-%20Clarinet%20Quintet%20-%202.%20Adagio.ogg | https://commons.wikimedia.org/wiki/File:Brahms%20-%20Clarinet%20Quintet%20-%202.%20Adagio.ogg
brahms-op116-four | 间奏曲 Op.116 No.4 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Brahms%20Intermezzo%20116-4.ogg | https://commons.wikimedia.org/wiki/File:Brahms%20Intermezzo%20116-4.ogg
brahms-op117-two | 间奏曲 Op.117 No.2 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Brahms%20-%20Intermezzo%2C%20Op.%20117%2C%20No.%202.ogg | https://commons.wikimedia.org/wiki/File:Brahms%20-%20Intermezzo%2C%20Op.%20117%2C%20No.%202.ogg
brahms-op118-two | 间奏曲 Op.118 No.2 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Johannes%20Brahms%20-%20klavierstucke%2C%20op.%20118%20-%20ii.%20intermezzo.ogg | https://commons.wikimedia.org/wiki/File:Johannes%20Brahms%20-%20klavierstucke%2C%20op.%20118%20-%20ii.%20intermezzo.ogg
